Name,Attenuation,,Floculation,Temperature,,Description
White Labs Irish Ale,69,74,Medium-High,65,68,"This is the yeast from one of the oldest stout producing breweries in the world. It produces a slight hint of diacetyl, balanced by a light fruitiness and slight dry crispness. Great for Irish ales, stouts, porters, browns, reds and a very interesting pale ale."
White Labs Klassic Ale,66,74,Medium,66,70,"Traditional English style, single strain yeast. Produces signature ester character, and does not mask hop character. Leaves ale with a slightly sweet malt character. Best for bitters, milds, porters, and stouts. Also good for Scottish style ales."
White Labs London Ale,67,75,Medium,66,71,"Dry, malty ale yeast. Provides a complex, oakey ester character to your beer. Hop bitterness comes through well. This yeast is well suited for classic British pale ales, bitters, and stouts. Does not flocculate as much as WLP002 and WLP005."
White Labs Mexican Lager,70,78,Medium,50,55,"From Mexico City, this yeast produces clean lager beer, with a crisp finish. Good for Mexican style light lagers, as well as dark lagers."
White Labs Oktoberfest Marzen Lager,65,73,Medium,52,58,"This yeast produces a very malty, bock like style. It does not finish as dry as WLP830. This yeast is much slower in the first generation than WLP830, so we encourage a larger starter to be used the first generation or schedule a longer lagering time."
White Labs Old Bavarian Lager,66,73,Medium,50,55,"From Southern Germany, this yeast finishes malty with a slight ester profile. Use in beers such as Oktoberfest, Bock, and Dark Lagers."
White Labs Pilsner Lager,72,77,Medium-High,50,55,"Classic pilsner strain from the premier pilsner producer in the Czech Republic. Somewhat dry with a malty finish, this yeast is best suited for European pilsner production."
White Labs Premium Bitter Ale,70,75,Medium,67,70,"From Staffordshire, England. Fermentation gives a mild, but complex, estery character. Ferments strong and dry. Good for high gravity beers. Best for all English style ales, including bitters, milds, ESBs, porters, stouts, and barley wines."
White Labs San Francisco Lager,65,70,High,58,65,"This yeast is used to produce the ""California Common"" style beer. A unique lager strain which has the ability to ferment up to 65 degrees while retaining lager characteristics. Can also be fermented down to 50 degrees for production of marzens, pilsners and other style lagers."
White Labs Southern German Lager,68,76,Medium-High,50,55,"This yeast is characterized by a malty finish and balanced aroma. It is a strong fermentor, produces slight sulfur, and low diacetyl."
White Labs Southwold Ale,68,75,Medium,66,69,"From Suffolk county, England. This yeast produces complex fruit, citrus, and spicy flavors. Great for British bitters and pale ales. Slight sulfur is produced during fermentation, which will disappear with aging."
White Labs Super High Gravity Ale,80,-1,Medium,65,69,Can ferment up to 25% alcohol. From England. Produces ester character that increases with increasing gravity. Malt character dominates at lower gravities.
White Labs Trappist Ale,75,80,Low-Medium,65,72,"From one of the few remaining Trappist breweries remaining in the world, this yeast produces the distinctive fruitiness and plum characteristics. Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels. Lower temperatures (under 65 F) will result in less fruity and more earthy beers."
White Labs Zurich Lager,70,80,Medium,50,55,"Swiss style lager yeast. With proper care, this yeast can be used to produce lager beer over 11% ABV. Sulfur and diacetyl production is minimal. Original culture provided to White Labs by Marc Sedam."
Wyeast American Ale,73,77,Low-Medium,60,72,"Very clean, crisp flavor characteristics with low fruitiness and mild ester production. A very versatile yeast for styles that desire dominant malt and hop character. This strain makes a wonderful house strain. Mild citrus notes develop with cooler 60-66 F (15-19 C) fermentations. Normally requires filtration for bright beers."
Wyeast American Ale II,72,76,Medium-High,60,72,"With many of the best qualities that brewers look for when brewing American styles of beer, this strain's performance is consistent and it makes great beer. This versatile strain is a very good choice for a house strain. Expect a soft, clean profile with hints of nut, and a slightly tart finish. Ferment at warmer temperatures to accentuate hop character with an increased fruitiness. Or, ferment cool for a clean, light citrus character. It attenuates well and is reliably flocculent, producing bright beer without filtration."
Wyeast American Lager,73,77,Medium,48,58,A complex and aromatic strain that can be used for a variety of lager beers. This strain is an excellent choice for Classic American Pilsner beers.
Wyeast American Wheat,74,78,Low,58,74,"A strong fermenting, true top cropping yeast that produces a dry, slightly tart, crisp beer. Ideal for beers when a low ester profile is desirable."
Wyeast Bavarian Lager,73,77,Medium-High,46,58,"Used by many German breweries to produce rich, full-bodied, malty beers, this strain is a good choice for bocks and dopplebocks. A thorough diacetyl rest is recommended after fermentation is complete."
Wyeast Bavarian Wheat,70,76,Low,64,75,"A complex alternative to the standard German wheat strain profile. This strain produces apple, pear, and plum esters in addition to the dominant banana character. The esters are complemented nicely by clove and subtle vanilla phenolics. The balance can be manipulated towards ester production through increasing fermentation temperature, increasing the wort density, and decreasing the pitch rate. Over pitching can result in a near complete loss of banana character. Decreasing the ester level will allow a higher clove character to be perceived. Sulfur is commonly produced, but will dissipate with conditioning. This strain is very powdery and will remain in suspension for an extended amount of time following attenuation. This is true top cropping yeast and requires fermenter headspace of 33%."
Wyeast Belgian Abbey,74,78,Low-Medium,68,78,"A widely used and alcohol tolerant Abbey yeast that is suitable for a variety of Belgian style ales. This strain produces a nice ester profile as well as slightly spicy alcohol notes. It can be slow to start; however, it attenuates well. "
Wyeast Belgian Ardennes,72,76,High,65,76,"One of the great and versatile strains for the production of classic Belgian style ales. This strain produces a beautiful balance of delicate fruit esters and subtle spicy notes; with neither one dominating. Unlike many other Belgian style strains, this strain is highly flocculent and results in bright beers."
Wyeast Belgian Lambic Blend,70,80,Variable,63,75,"This blend contains yeast and bacteria cultures important to the production of spontaneously fermented beers of the Lambic region. Specific proportions of a Belgian style ale strain, a sherry strain, two Brettanomyces strains, a Lactobacillus culture, and a Pediococcus culture produce the desirable flavor components of these beers as they are brewed in West Flanders. Propagation of this culture is not recommended and will result in a change of the proportions of the individual components. This blend will produce a very dry beer due to the super-attenuative nature of the mixed cultures."
Wyeast Belgian Strong Ale,74,78,Low,64,80,"The classic choice for brewing golden strong ales. This alcohol tolerant strain will produce a complex ester profile balanced nicely with subtle phenolics. Malt flavors and aromas will remain even with a well attenuated dry, tart finish. It may continue to produce CO2 for an extended period after packaging or collection."
Wyeast Belgian Wheat,72,76,Medium,64,74,"Isolated from a small Belgian brewery, this strain produces beers with moderate esters and minimal phenolics. Apple, bubblegum and plum-like aromas blend nicely with malt and hops. This strain will finish dry with a hint of tartness."
Wyeast Belgian Witbier,72,76,Medium,62,75,"This versatile witbier yeast strain can be used in a variety of Belgian style ales. This strain produces a complex flavor profile dominated by spicy phenolics with low to moderate ester production. It is a great strain choice when you want a delicate clove profile not to be overshadowed by esters. It will ferment fairly dry with a slightly tart finish that compliments the use of oats, malted and unmalted wheat. This strain is a true top cropping yeast requiring full fermenter headspace of 33%."
Wyeast Bohemian Lager,73,77,Low-Medium,45,68,"This Carlsberg type yeast is the most widely used lager strain in the world. This strain produces a distinct malty profile with some ester character and a crisp finish. A versatile strain, that is great to use with lagers or Pilsners for fermentations in the 45-55Â°F (8-12Â°C) range. It may also be used for Common beer production with fermentations at 65-68Â°F (18-20Â°C). A thorough diacetyl rest is recommended after fermentation is complete."
Wyeast British Ale,73,75,Medium,64,72,"This yeast allows malt and hop character to dominate the profile. It ferments dry and crisp, slightly tart, fruity and well balanced. Beers will finish clean and neutral. Ferments well down to 64 F. "
Wyeast British Ale II,73,76,High,63,75,"A classic British ale profile with good flocculation and malty flavor characteristics. It will finish crisp, clean and fairly dry."
Wyeast British Cask Ale,74,77,Medium-High,63,72,A great choice for any cask conditioned British Ale. Produces nice malt profile with a hint of fruit. Finishes dry and slightly tart.
Wyeast Budvar Lager,71,75,Medium-High,48,56,"The Budvar strain has a nice malty nose with subtle fruit tones and a rich malt profile on the palate. It finishes malty but dry, well balanced and crisp. Hop character comes through in the finish."
Wyeast California Lager,67,71,High,58,68,"This strain is particularly well suited for producing 19th century-style West Coast beers with woody/minty hop flavor. It retains lager characteristics at temperatures up to 65Â°F (18Â°C) and produces malty, brilliantly clear beers. This strain is not recommended for cold temperature fermentation."
Wyeast Canadian/Belgian,75,79,Medium,65,80,"From a Franco-Belgian Canadian brewery which produces many styles of classic Belgian beers. Mild phenolics, which increase with elevated fermentation temperatures. Low ester profile with a dry, slightly tart finish. Complex and well-balanced, alcohol tolerant."
Wyeast Czech Pils,70,74,Medium-High,50,58,"Originating from the home of great Pilsners in the Czech Republic, this classic Pilsner strain will finish dry and malty. It is the perfect choice for Pilsners and all malt beers. Sulfur produced during fermentation can be reduced with warmer fermentation temperatures 58Â°F (14Â°C) and will dissipate with conditioning."
Wyeast Danish Lager,73,77,Low,46,56,"This yeast is a good choice for Dortmund-style lagers. It will ferment crisp and dry with a soft, rounded profile that accentuates hop characteristics. "
Wyeast Dutch Castle,74,79,Medium,65,80,"Spicy, phenolic, and tart in the nose. Very tart and dry on the palate. Phenols and esters well balanced, with a very dry and complex finish. High acid producer."
Wyeast European Ale,67,71,High,62,72,"A full-bodied strain, finishing very malty with a complex flavor profile. This strainâ€™s characteristics are very desirable in English style brown ales and porters. It produces a dense, rocky head during fermentation, and can be a slow to start and to attenuate. This yeast may continue to produce CO2 for an extended period after packaging or collection."
Wyeast European Lager,73,77,Low,46,56,"Clean, dry flavor profile often used in aggressively hopped pilsner. Mild aromatics, slight sulfur production, dry finish."
Wyeast Forbidden Fruit,72,76,Low,63,76,"A widely used strain in the production of Witbier and Grand Cru. This yeast will produce spicy phenolics which are balanced nicely by a complex ester profile. The subtle fruit character and dry tart finish will complement wheat malt, orange peel and spice additions typical of Wits."
Wyeast Gambrinus Lager,71,75,Medium-High,46,56,"Very mild floral aroma, nice lager character in nose. Malt dominates profile with subtle floral/fruit notes. Full, complex flavor profile with full mouth feel. Finishes soft and smooth with nice lingering maltiness."
Wyeast German Ale,73,77,Low,55,68,"A true top cropping yeast with low ester formation and a broad temperature range. Fermentation at higher temperatures may produce mild fruitiness. This powdery strain results in yeast that remains in suspension post fermentation. Beers mature rapidly, even when cold fermentation is used. Low or no detectable diacetyl."
Wyeast German Wheat,70,76,High,63,75,"A highly flocculent German wheat beer strain that is the perfect choice for use in Kristallweizen. This yeast strain produces a beautiful and delicate balance of banana esters and clove phenolics similar to the popular Wyeast 3068. However, this strain will sediment rapidly, resulting in bright beer without filtration. The balance can be manipulated towards ester production through increasing fermentation temperature, increasing the wort density, and decreasing the pitch rate. Over pitching can result in a near complete loss of banana character. Sulfur is commonly produced, but will dissipate with conditioning."
Wyeast Irish Ale,71,75,Medium,62,72,"This versatile yeast ferments extremely well in dark worts. It is a good choice for most high gravity beers. Beers fermented in the lower temperature range produce a dry, crisp profile with subtle fruitiness. Fruit and complex esters will increase when fermentation temperatures are above 64°F (18°C)."
Wyeast Kolsch,73,77,Low,56,70,"This strain is a classic, true top cropping yeast strain from a traditional brewery in Cologne, Germany. Beers will exhibit some of the fruity character of an ale, with a clean lager like profile. It produces low or no detectable levels of diacetyl. This yeast may also be used to produce quick-conditioning pseudo-lager beers and ferments well at cold 55-60°F (13-16°C) range. This powdery strain results in yeast that remain in suspension post fermentation. It requires filtration or additional settling time to produce bright beers."
Wyeast Leuven Pale,75,78,High,65,80,"This vigerous top fermenting Belgian style strain produces a distinct spicy character along with mild esters. Phenolics developed during fermentation may dissipate with conditioning. This strain is an excellent choice for a variety of Belgian beer styles including pales, dubbels and brown ales."
Wyeast London Ale,73,77,Low-Medium,60,72,"A rich, minerally profile that is bold and crisp with some fruitiness. Often used for higher gravity ales and when a high level of attenuation is desired."
Wyeast London Ale III,71,75,High,64,74,"Originating from a traditional London brewery, this yeast has a wonderful malt and hop profile. It is a true top cropping strain with a fruity, very light and softly balanced palate. This strain will finish slightly sweet."
Wyeast London ESB,67,71,Very High,64,72,"A very good cask conditioned ale strain, this extremely flocculant yeast produces distinctly malty beers. Attenuation levels are typically less than most other yeast strains which results in a slightly sweeter finish. Ales produced with this strain tend to be fruity, increasingly so with higher fermentation temperatures of 70-74°F (21-23°C). A thorough diacetyl rest is recommended after fermentation is complete. Bright beers are easily achieved within days without any filtration."
Wyeast Munich Lager,70,74,Medium,48,56,"This is a unique strain, capable of producing fine lagers. It is very smooth, well-rounded and full-bodied. A thorough diacetyl rest is recommended after fermentation is complete."
Wyeast North American Lager,70,76,High,52,58,"Traditional culture of North American and Canadian lagers, light pilsners and adjunct beers. Mildly malty profile, medium ester profile, well balanced. Malty finish."
Wyeast Northwest Ale,67,71,High,65,75,One of the classic ale strains from a Northwest U.S. Brewery. It produces a malty and mildly fruity ale with good depth and complexity.
Wyeast Pilsen Lager,71,75,Medium,48,56,"Wyeast 2007 is the classic American lager strain. This mild, neutral strain produces beers with a nice malty character and a smooth palate. It ferments dry and crisp with minimal sulfur or diacetyl. Beers from this strain exhibit the characteristics of the most popular lager in America."
Wyeast Ringwood Ale,68,72,High,64,74,"A top cropping yeast strain with unique fermentation and flavor characteristics. Expect distinct fruit esters with a malty, complex profile. Flocculation is high, and the beer will clear well without filtration. A thorough diacetyl rest is recommended after fermentation is complete."
Wyeast Scottish Ale,69,73,High,55,75,"Our Scottish ale strain is ideally suited for the strong, malty ales of Scotland. This strain is very versatile, and is often used as a house strain as it ferments neutral and clean. Higher fermentation temperatures will result in an increased ester profile."
Wyeast Thames Valley Ale,77,-1,Low-Medium,62,72,"This strain produces classic British bitters with a rich, complex flavor profile. The yeast has a light malt character, low fruitiness, low esters and is clean and well balanced."
Wyeast Trappist High Gravity,74,78,Medium,64,78,"A classic strain selection for brewing Belgian dubbel or Belgian tripel. This Abbey strain produces a nice balance of complex fruity esters and phenolics, making it desirable for use in other Belgian style ales as well. A flocculent, true top cropping yeast (additional headspace is recommended), that will work over a broad temperature range. This strain makes a great Belgian style house strain."
Wyeast Urquell Lager,72,76,Medium-High,48,56,With a mild fruit and floral aroma this strain has a very dry and clean palate with a full mouthfeel and nice subtle malt character. It has a very clean and neutral finish.
Wyeast Weihenstephan Weizen,73,77,Low,64,75,"The classic and most popular German wheat beer strain used worldwide. This yeast strain produces a beautiful and delicate balance of banana esters and clove phenolics. The balance can be manipulated towards ester production through increasing the fermentation temperature, increasing the wort density, and decreasing the pitch rate. Over pitching can result in a near complete loss of banana character. Decreasing the ester level will allow a higher clove character to be perceived. Sulfur is commonly produced, but will dissipate with conditioning. This strain is very powdery and will remain in suspension for an extended amount of time following attenuation. This is true top cropping yeast and requires fermenter headspace of 33%."
Wyeast Whitbread Ale,68,72,Medium-High,64,75,"A mildly malty and slightly fruity fermentation profile. It is less tart and dry than Wyeast 1098 British Ale. With good flocculation characteristics, this yeast clears well without filtration. Low fermentation temperatures will produce a clean finish with a very low ester profile."
